ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
slime00_01_Init,1,10,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FLIPX,FLIPY
graphics/Character/Monster/Slime/slime00_01_Init.png,0,0,160,120,80,120,0,0
graphics/Character/Monster/Slime/slime00_01_Init.png,160,0,160,120,80,120,0,0
graphics/Character/Monster/Slime/slime00_01_Init.png,320,0,160,120,80,120,0,0
graphics/Character/Monster/Slime/slime00_01_Init.png,0,120,160,120,80,120,0,0
graphics/Character/Monster/Slime/slime00_01_Init.png,160,120,160,120,80,120,0,0
graphics/Character/Monster/Slime/slime00_01_Init.png,320,120,160,120,80,120,0,0
graphics/Character/Monster/Slime/slime00_01_Init.png,0,240,160,120,80,120,0,0
graphics/Character/Monster/Slime/slime00_01_Init.png,160,240,160,120,80,120,0,0
graphics/Character/Monster/Slime/slime00_01_Init.png,320,240,160,120,80,120,0,0
